Question,Answer
How many years of work experience do you have with NumPy?,2
How many years of work experience do you have with C (Programming Language)?,2
How many years of work experience do you have with Representational State Transfer (REST)?,2
City,
How many years of work experience do you have with Hadoop?,1
How many years of work experience do you have with Data Structures?,2
How many years of work experience do you have with Business Analysis?,2
Company,
How many years of WRT experience do you currently have?,3
How many years of work experience do you have with PostgreSQL?,2
How many years of work experience do you have with Angular?,0
State / Province,
Country,
How many years of work experience do you have with Python (Programming Language)?,3
How many years of work experience do you have with Jira?,2
How many years of work experience do you have with GitHub?,3
How many years of work experience do you have with Learning Management Systems?,2
School,
How many years of work experience do you have with Data Modeling?,1
